slice,section,recordId,dhikrOpening,arabicTextStatus,tashkeelStatus,sourceStatus,hadithReference,narratorStatus,gradeStatus,countStatus,occasionStatus,categoryStatus,englishMeaningStatus,transliterationStatus,severity,recommendedAction,evidenceSources
morning_evening,Evening,morning_007_evening,اللهم ما أمسى بي من نعمة,"Legitimate override (أصبح→أمسى), matches the hadith's own ""ومن قال مثل ذلك حين يمسي""",Present,Same as above,Same,Same,Same,No issue,Correct,Correct,Accurate,Accurate,LOW,None,Same
morning_evening,Morning,morning_008,اللهم عافني في بدني (×3),Clean,Present,"""Sunan Abi Dawud — hasan (al-Albani)"" — consistent with well-known Abu Dawud 5090 (from Abdullah ibn 'Umar)",Abu Dawud ~5090 (not re-fetched),Not shown,Not re-confirmed,3x consistent,Correct,Correct,Accurate,Accurate,LOW,Add narrator/number,Prior knowledge
morning_evening,Evening,"morning_008 (evening copy, unchanged)",اللهم عافني في بدني (×3),"Same wording both occasions — no day/night-specific language in this dua, correctly left unmodified",Present,Same,Same,Same,Same,Same,Correct,Correct,Accurate,Accurate,LOW,Same,Same
morning_evening,Morning,morning_009,حسبي الله لا إله إلا هو (×7),Clean,Present,"**Verified this session** — ""Sunan Abi Dawud — mawquf on Abu al-Darda' with a good chain; regarded as marfu' in ruling by Ibn Baz"" is precisely accurate per live search: Abu Dawud narrated it mawquf; al-Mundhiri held it does not fall below hasan; Ibn al-Sunni's version is marfu'; the ""mawquf in wording, marfu' in ruling"" characterization (since such content isn't a matter of personal opinion) matches scholarly discussion found live","Abu Dawud (mawquf route) / Ibn al-Sunni, Amal al-Yawm wa'l-Laylah (marfu' route)",Abu al-Darda',Correctly distinguishes mawquf vs. marfu' status rather than flattening — exemplary per spec section 12,7x consistent with hadith,Correct,Correct,Accurate,Accurate,LOW,None needed,WebSearch this session; confirms app's own nuanced grading
morning_evening,Evening,"morning_009 (evening copy, unchanged)",حسبي الله لا إله إلا هو (×7),Same,Present,Same,Same,Same,Same,Same,Correct,Correct,Accurate,Accurate,LOW,None,Same
morning_evening,Morning,morning_010,اللهم إني أسألك العفو والعافية,Clean,Present,"""Sunan Ibn Majah — sahih (al-Albani)"" — plausible, consistent with the well-known Ibn Majah 3871 (from Ibn 'Umar)",Ibn Majah ~3871 (not re-fetched),Ibn 'Umar (not shown),Not re-confirmed live,No count shown — correctly omitted (`repeat` absent) rather than inventing one,Correct,Correct,Accurate,Accurate,LOW,Add narrator/number,Prior knowledge
morning_evening,Evening,"morning_010 (evening copy, unchanged)",اللهم إني أسألك العفو والعافية,Same — no day/night-specific wording,Present,Same,Same,Same,Same,Same,Correct,Correct,Accurate,Accurate,LOW,Same,Same
morning_evening,Morning,morning_011,اللهم عالم الغيب والشهادة,Clean,Present,"""Jami' at-Tirmidhi — sahih (al-Albani)"" — plausible, consistent with Tirmidhi 3529 (from Abu Bakr al-Siddiq)",Tirmidhi ~3529 (not re-fetched),Abu Bakr (not shown),Not re-confirmed live,No issue (repeat=1),Correct,Correct,Accurate,Accurate,LOW,Add narrator/number,Prior knowledge
morning_evening,Evening,"morning_011 (evening copy, unchanged)",اللهم عالم الغيب والشهادة,Same,Present,Same,Same,Same,Same,Same,Correct,Correct,Accurate,Accurate,LOW,Same,Same
morning_evening,Morning,morning_012,بسم الله الذي لا يضر مع اسمه شيء (×3),Clean,Present,"""Sunan Abi Dawud — hasan (Ibn Baz)"" — plausible, consistent with Abu Dawud 5088 / Tirmidhi 3388 (from 'Uthman ibn 'Affan)",Abu Dawud ~5088 (not re-fetched),'Uthman ibn 'Affan (not shown),Not re-confirmed live,3x consistent,Correct,Correct,Accurate,Accurate,LOW,Add narrator/number,Prior knowledge
morning_evening,Evening,"morning_012 (evening copy, unchanged)",بسم الله الذي لا يضر مع اسمه شيء (×3),Same,Present,Same,Same,Same,Same,Same,Correct,Correct,Accurate,Accurate,LOW,Same,Same
morning_evening,Morning,morning_013,رضيت بالله ربًا (×3),Clean,Present,"""Jami' at-Tirmidhi — isnad hasan (Ibn Baz)"" — plausible, consistent with Tirmidhi 3389/Abu Dawud 5072 (from Thawban)",Tirmidhi ~3389 (not re-fetched),Thawban (not shown),Not re-confirmed live,3x consistent,Correct,Correct,Accurate,Accurate,LOW,Add narrator/number,Prior knowledge
morning_evening,Evening,"morning_013 (evening copy, unchanged)",رضيت بالله ربًا (×3),Same,Present,Same,Same,Same,Same,Same,Correct,Correct,Accurate,Accurate,LOW,Same,Same
morning_evening,Morning,morning_014,يا حي يا قيوم برحمتك أستغيث,Clean,Present,"""Sunan an-Nasa'i al-Kubra — hasan (al-Albani)"" — plausible, consistent with the well-known ""Amal al-Yawm wa'l-Laylah""-transmitted narration from Anas ibn Malik","Nasa'i al-Kubra (number not shown, not re-fetched)",Anas ibn Malik (not shown),Not re-confirmed live,No count shown — appropriately omitted,Correct,Correct,Accurate,Accurate,LOW,Add narrator/number,Prior knowledge
morning_evening,Evening,"morning_014 (evening copy, unchanged)",يا حي يا قيوم برحمتك أستغيث,Same,Present,Same,Same,Same,Same,Same,Correct,Correct,Accurate,Accurate,LOW,Same,Same
morning_evening,Morning,morning_015,أصبحنا وأصبح الملك لله رب العالمين,Clean,Present,"""Sunan Abi Dawud — hasan (al-Albani), differed upon"" — app itself already flags scholarly disagreement (matches known discussion around this narration's isnad, e.g. via Rabi'ah ibn 'Abd al-Rahman route) rather than flattening to sahih — good practice, not independently re-confirmed live this pass",Abu Dawud (not re-fetched),Not shown,"App's own ""differed upon"" hedge appears appropriate",No issue,Correct,Correct,Accurate,Accurate,LOW,"Consider live-verifying the exact disagreement (which scholars, what the objection is) for full section-12 documentation",Prior knowledge; app's own hedge not contradicted
morning_evening,Evening,morning_015_evening,أمسينا وأمسى الملك لله رب العالمين,Legitimate override per app's own bracket-derived alternate wording,Present,Same,Same,Same,Same,Same,Correct,Correct,Accurate,Accurate,LOW,Same,Same
morning_evening,Morning,morning_016,أصبحنا على فطرة الإسلام,Clean,Present,"""Musnad Ahmad — isnad sahih (Ibn Baz)"" — plausible, consistent with the well-known narration from Anas ibn Malik in Musnad Ahmad",Musnad Ahmad (not re-fetched),Anas ibn Malik (not shown),Not re-confirmed live,No issue,Correct,Correct,Accurate,Accurate,LOW,Add narrator/number,Prior knowledge
morning_evening,Evening,morning_016_evening,أمسينا على فطرة الإسلام,"Legitimate override (أصبحنا→أمسينا only; rest of the text has no day/night reference, correctly left unmodified)",Present,Same,Same,Same,Same,Same,Correct,Correct,Accurate,Accurate,LOW,Same,Same
morning_evening,Morning,morning_017,سبحان الله وبحمده (×100),Clean wording,Present,"""Sahih al-Bukhari, Sahih Muslim"" — **verified this session**: matches Bukhari 6405 / Muslim 2691 (from Abu Hurayrah)","Bukhari 6405, Muslim 2691",Abu Hurayrah,Correct,100x matches the hadith exactly,"**Needs contextual qualification** — the hadith's own wording is ""من قال ... في يوم مائة مرة"" (""whoever says this ... a hundred times IN A DAY""), i.e. it does not specify morning/evening as the occasion; its placement here follows a long-established convention in morning/evening adhkar compilations (e.g. Hisn al-Muslim) rather than the hadith's own literal wording specifying that time","Acceptable, by convention",Accurate,Accurate,MEDIUM,"Consider labeling this item's occasion as ""general daily dhikr, conventionally recited morning/evening"" rather than implying the hadith itself specifies morning — a wording/UI change, not a content change",WebSearch this session (query on the exact Arabic tahlil/tasbih hadith); cross-referenced Bukhari 6405/Muslim 2691 hadith text via search snippets
morning_evening,Evening,"morning_017 (evening copy, unchanged)",سبحان الله وبحمده (×100),Same,Present,Same,Same,Same,Same,Same,Same qualification applies,Same,Accurate,Accurate,MEDIUM,Same,Same
morning_evening,Morning,morning_018,لا إله إلا الله وحده لا شريك له... (×10),"Wording itself (without ""يحيي ويميت"") is a real, attested phrase",Present,"**CRITICAL — verified this session**: the citation ""Sahih al-Bukhari, Sahih Muslim"" does not support this specific wording+count combination. Live search located: (1) Bukhari 6403/3119 and Muslim 2691 report this tahlil said **100 times ""in a day""** (general, not morning/evening-specific) — a DIFFERENT count than the 10x shown here; (2) the distinct ""10 times"" narration (from Abu Ayyub al-Ansari, ""equivalent to freeing ten slaves"") is reported in **Musnad Ahmad**, not Bukhari/Muslim; (3) a separate, longer ""10 times after Fajr/Maghrib, 100 good deeds"" narration — which DOES include the additional clause ""يُحْيِي وَيُمِيتُ"" not present in DITHAR's text — traces to Tirmidhi 3534, again not Bukhari/Muslim. DITHAR's current record appears to combine the 100x-hadith's exact wording with a 10x count and a Bukhari/Muslim citation that together do not match any single located primary narration","Bukhari 6403/3119 & Muslim 2691 support the WORDING at 100x; Musnad Ahmad supports a 10x count but for a narration whose reward-text differs; Tirmidhi 3534 supports a 10x-after-Fajr/Maghrib version with additional wording (""يحيي ويميت"") not present in DITHAR's text",Abu Hurayrah (100x hadith); Abu Ayyub al-Ansari (10x Ahmad hadith),Grading not independently re-confirmed pending resolution of which narration is actually intended,"**Likely incorrect as currently attributed** — ""10 times"" is not established in the cited Bukhari/Muslim source for this exact wording","Currently shown as a generic morning/evening dhikr; the closest 10x narration found ties it to specifically after Fajr and Maghrib prayers, not ""morning"" broadly",Needs review pending which underlying hadith DITHAR intends,Accurate for the general meaning of the phrase itself,Accurate for the phrase shown,**CRITICAL**,"Re-derive this record from a single, correctly-cited primary narration: either (a) the Bukhari/Muslim 100x version (fix `repeat` to 100, matching morning_017's already-correct citation pattern), or (b) the Musnad Ahmad 10x version (fix `source_ar`/`source_en` to Musnad Ahmad, from Abu Ayyub al-Ansari), or (c) the Tirmidhi 3534 10x-after-Fajr/Maghrib version (fix source to Tirmidhi AND add the missing ""يحيي ويميت"" clause AND move/scope this to Prayer Adhkar instead of Morning/Evening). Do not apply this now — flagged for your review only.","WebSearch this session (2 queries): general tahlil-hadith search; targeted ""حين يصبح...عشر مرات"" search; cross-referenced hadithprophet.com (Musnad Ahmad citation), islamweb.net fatwa 214717, alukah.net"
morning_evening,Evening,"morning_018 (evening copy, unchanged)",لا إله إلا الله وحده لا شريك له... (×10),Same,Present,Same CRITICAL issue applies,Same,Same,Same,Same,Same,Same,Accurate,Accurate,**CRITICAL**,Same,Same
morning_evening,Morning,morning_020,سبحان الله وبحمده عدد خلقه... (×3),Clean,Present,"""Sahih Muslim"" — consistent with well-known Muslim 2726 (from Juwayriyyah bint al-Harith), explicitly tied to morning (""حين أصبح"") in the hadith's own text",Muslim 2726 (not re-fetched),Juwayriyyah bint al-Harith (not shown),Not re-confirmed live,3x consistent,Correct — this hadith IS explicitly morning-specific,"Correct (morning only, no evening counterpart shown — correctly not duplicated into Evening since this card's category is ""morning"" only)",Accurate,Accurate,LOW,Add narrator/number,Prior knowledge
morning_evening,Morning,morning_023,الصلاة على النبي ﷺ (Ibrahimic form),"Clean wording — matches the well-known ""as-salah al-Ibrahimiyyah""",Present,"""Sahih al-Bukhari, Sahih Muslim"" is correct for the WORDING (Bukhari 3370, Muslim 406, from Ka'b ibn 'Ujrah) — this is accurate",Bukhari 3370 / Muslim 406,Ka'b ibn 'Ujrah (not shown),Not re-confirmed live,"No count shown — appropriate, since this hadith establishes the wording of Salawat during tashahhud, not a morning/evening repetition count","**Needs contextual qualification** — Bukhari 3370/Muslim 406 establish this as the correct FORM of Salawat (originally asked about for use in prayer), not as a morning/evening-specific dhikr; its inclusion here follows the general virtue of sending salawat (echoed in other hadith, e.g. reward multiplied for reciting salawat) and long-standing compilation convention (Hisn al-Muslim etc.) rather than a specific morning/evening narration","Acceptable, by convention — same category as morning_017",Accurate,Accurate,MEDIUM,Consider noting in the UI/metadata that this item's presence in Morning/Evening reflects general convention (compatible with the topic) rather than a hadith specifically prescribing salawat at these two times — content/wording itself needs no change,Prior knowledge (Bukhari 3370/Muslim 406 wording is extremely well known)
morning_evening,Evening,"morning_023 (evening copy, unchanged)",الصلاة على النبي ﷺ,Same,Present,Same,Same,Same,Same,Same,Same qualification,Same,Accurate,Accurate,MEDIUM,Same,Same
morning_evening,Evening,evening_001,أعوذ بكلمات الله التامات من شر ما خلق (×3),Clean — well-known wording,Present,"""Jami' at-Tirmidhi — hasan (al-Tirmidhi); sahih (al-Albani)"" — plausible, consistent with the well-known Tirmidhi 3604 (from Khawlah bint Hakim); the app's own two-scholar hedge (Tirmidhi's own ""hasan"" plus al-Albani's stronger ""sahih"") is an appropriately nuanced presentation, not independently re-confirmed live this pass",Tirmidhi 3604 (not re-fetched),Khawlah bint Hakim (not shown),App's own dual-grading presentation appears appropriate,"3x consistent with common citation, though the base Muslim/Tirmidhi hadith wording itself doesn't always specify a repeat count in every version — not independently re-verified","Correct — this is a well-known evening-only (and general-protection) dhikr; note it has NO morning counterpart in the app, which is itself correct (the hadith is not typically presented as a morning dhikr)","Correct (evening-only, no morning duplicate — correct)",Accurate,Accurate,LOW,Verify the exact 3x repetition is in the base hadith text vs. added by convention,Prior knowledge
prayer,Prayer,prayer_001,أستغفر الله,Accurate (matches Muslim 591),"Fully voweled, consistent with hadith",Correctly cited,"Sahih Muslim 591 (also Tirmidhi 300, Nasa'i 1337, Ibn Majah 928)","Missing — narrator (Thawban رضي الله عنه) present in source_ar but not spelled out beyond ""عن ثوبان"", acceptable",Accurate (Sahih),"Explicitly established (3x, part of narration)",B — explicitly the Prophet's ﷺ own after-prayer practice,Correct placement,Accurate,Accurate,LOW,None needed,dorar.net/hadith/sharh/39717; WebSearch confirmation
prayer,Prayer,prayer_001b,اللهم أنت السلام,"**Variant wording** — DITHAR has ""تَبَارَكْتَ **يَا** ذَا الْجَلاَلِ"" (with يا); the Sahih Muslim 591 wording as commonly transmitted is ""تَبَارَكْتَ ذَا الْجَلَالِ وَالْإِكْرَامِ"" (without يا) — the ""يا"" variant is attested instead in Sunan Abi Dawud / Sunan Ibn Majah versions of the same content","Voweled, consistent with the displayed (non-Muslim) variant","**Source/wording mismatch**: cited as Sahih Muslim (591) but displays a wording variant attested in Abu Dawud/Ibn Majah, not the Muslim wording itself",Sahih Muslim 591 (as cited) vs. Abu Dawud/Ibn Majah (actual wording match),Present (Thawban),"Both wordings authentic in their own collections; not a fabrication, but a citation-precision issue","Same as prayer_001 (part of the same narration, said once)",B,Correct placement,Accurate,Accurate,MEDIUM,"Re-attribute source to the collection whose wording is actually displayed (Abu Dawud/Ibn Majah), or switch displayed text to Muslim's exact wording","dorar.net/hadith/sharh/80334, /39717; surahquran.com Hadith-30811, Hadith-30180"
prayer,Prayer,prayer_002,لا إله إلا الله وحده لا شريك له (المغيرة),Accurate — matches Bukhari 844 exactly,"Fully voweled, consistent","Correctly cited (Bukhari 844, also Muslim)",Sahih al-Bukhari 844,Present (al-Mughirah ibn Shu'bah),"Accurate (Sahih, agreed-upon)","N/A — no repetition count in this hadith; `repeat: 1` correctly reflects ""no count""","A — explicit Prophetic practice ""دبر كل صلاة""",Correct placement,"**Materially inaccurate**: English text inserts ""(three times)"" after ""...over all things capable"" — this phrase does NOT exist in DITHAR's own Arabic text_ar for this record and is not part of the Bukhari 844 narration; it appears to be accidentally carried over from a different dhikr's count annotation",Accurate,HIGH,"Remove the erroneous ""(three times)"" from text_en — it invents a repetition instruction not present in the Arabic or the hadith",dorar.net/h/Ezjd3fpI; hadithprophet.com/hadith-37078
prayer,Prayer,prayer_003,لا إله إلا الله وحده لا شريك له (ابن الزبير),"Accurate — matches Sahih Muslim 594 exactly, word for word","Fully voweled, consistent",Correctly cited,Sahih Muslim 594,Present (Abdullah ibn al-Zubayr),"Accurate, but see note: report is narrated as Ibn al-Zubayr's own practice (""كان ابن الزبير يقول..."") with an appended note ""وكان رسول الله يهلل بهن دبر كل صلاة"" establishing Prophetic origin — technically mawquf-with-marfu‘-addition rather than a plain marfu' hadith; still sahih and correctly used",Not explicitly numbered; `repeat: 1` (no count) is correct — matches narration,"B/A — ""دبر كل صلاة"" explicit in the report",Correct placement,Accurate,Accurate,LOW,Optionally note the mawquf/marfu' nuance in documentation (not required for display),Tumblr/hadeth citing Muslim 594 wording; binbaz.org.sa/fatwas/13281
prayer,Prayer,prayer_004,سبحان الله (33x),Accurate,Fully voweled,Correctly cited,Sahih Muslim 597 (also Bukhari),Present (Abu Hurairah),"Accurate (Sahih, mutafaq 'alayh)",Explicitly established (33x is the narration's own number),A,Correct placement,Accurate,Accurate,LOW,None,Well-established hadith; not independently re-fetched from primary text this pass given very high prior confidence — recommend a follow-up direct-source check before treating as fully closed
prayer,Prayer,prayer_004b,الحمد لله (33x),Accurate,Fully voweled,Correctly cited,Sahih Muslim 597,Present,Accurate,Explicitly established,A,Correct placement,Accurate,Accurate,LOW,None,same as prayer_004
prayer,Prayer,prayer_004c,الله أكبر (33x),Accurate,Fully voweled,Correctly cited,Sahih Muslim 597,Present,Accurate,Explicitly established,A,Correct placement,Accurate,Accurate,LOW,None,same as prayer_004
prayer,Prayer,prayer_004d,لا إله إلا الله وحده... (تمام المائة),"Accurate — matches the ""تمام المائة"" clause of Muslim 597",Fully voweled,Correctly cited,Sahih Muslim 597,Present,Accurate,Explicitly established (completes the 99 to 100),A,Correct placement,Accurate,Accurate,LOW,None,same as prayer_004
prayer,Prayer,prayer_006,آية الكرسي بعد الصلاة,"Not independently re-verified against Tanzil/quran.com in THIS pass (well-known verse, Al-Baqarah 2:255) — flagged Uncertain for a strict diacritics-stripped comparison, not for suspected error","Uses older-style spelling conventions (e.g. ""الأَرْضِ"") consistent with common Mushaf print variants; not flagged as wrong, but not independently re-verified",Reference given but vague on secondary attribution,"Sunan an-Nasa'i, al-Sunan al-Kubra (9928)",Present (Abu Umamah al-Bahili),"**Grading needs qualification**: DITHAR states ""Hasan (al-Albani)""; sources found instead show Ibn Hibban graded it Sahih (in Bulugh al-Maram context) and al-Shawkani assessed the Nasa'i isnad as Hasan — al-Albani's own specific grading of this exact wording was not independently located in this pass","Not numbered — `repeat: 1`, correct (no count established beyond ""read it"")","D-leaning-A — ""دبر كل صلاة مكتوبة"" is explicit in the hadith itself, so occasion is well-supported; but grading nuance above affects confidence",Correct placement,Accurate,Accurate,MEDIUM,"(1) Independently verify Ayat al-Kursi's Uthmani text via Tanzil for this record specifically; (2) qualify the grading (Ibn Hibban: sahih; al-Shawkani: hasan isnad) rather than attributing ""Hasan"" solely to al-Albani without a located primary citation",binbaz.org.sa/fatwas/12906; islamweb.net/ar/fatwa/276580
prayer,Prayer,prayer_005,سورة الإخلاص بعد الصلاة,"Quran (Al-Ikhlas) — not independently re-verified via Tanzil in this pass; extremely well-known short surah, low risk",Not independently re-verified this pass,"**Source is vague/non-primary**: ""ورد في السنة، وذكره الشيخ ابن باز ضمن أذكار أدبار الصلوات"" does not name a hadith collection or number — falls short of section 11's ""reported in the Sunnah... is not sufficient"" standard, especially since the SAME underlying practice (reciting the three Quls after every prayer) IS traceable to a specific, named hadith (Abu Dawud 1523, 'Uqbah ibn 'Amir) that prayer_005b/005c correctly cite",Abu Dawud 1523 (per 005b/005c; not cited here),Missing,Not established for this record specifically (vague sourcing),See CRITICAL count finding (shared with 005b/005c) — repeatByPrayer 3x/1x is not established by the cited source,Correct general placement (post-prayer dhikr is well attested for the Mu'awwidhat as a set),Correct placement,Accurate,Accurate,CRITICAL (count) / HIGH (source),"(1) Cite the same Abu Dawud 1523 'Uqbah ibn 'Amir hadith used for 005b/005c, or find the specific source Ibn Baz actually cites; (2) see the shared repeatByPrayer finding for 005/005b/005c",islamweb.net/ar/fatwa/57139; dorar.net/hadith/sharh/83302
prayer,Prayer,prayer_005b,سورة الفلق بعد الصلاة,Quran (Al-Falaq) — not independently re-verified via Tanzil this pass,Not independently re-verified this pass,"Correctly cited, with narrator",Sunan Abi Dawud 1523,Present ('Uqbah ibn 'Amir),Accurate — graded sahih (commonly cited as sahih by al-Albani in Sahih Abi Dawud),"**CRITICAL — incorrect prescribed count**: DITHAR's `repeatByPrayer` (3x after Fajr/Maghrib, 1x after Dhuhr/Asr/Isha) is NOT established by the cited Abu Dawud 1523 hadith, which simply instructs reciting the Mu'awwidhat once ""دبر كل صلاة"" (after every prayer) with no differentiation by prayer. The ""3 times"" figure appears in a DIFFERENT, well-known hadith about reciting the three Quls 3 times in the **morning and evening** (a calendar morning/evening dhikr, not a post-Fajr/post-Maghrib-prayer dhikr) — these two distinct practices (post-prayer dhikr vs. morning/evening dhikr) appear to have been conflated because Fajr/Maghrib roughly coincide with morning/evening","D — the underlying ""recite after every prayer"" placement is well supported (A); but the ""3x specifically at Fajr/Maghrib"" refinement is NOT itself prescribed by the cited source for the post-prayer context — an unsupported specialization",Correct placement,Accurate,Accurate,**CRITICAL**,"Change `repeatByPrayer` to a flat `repeat: 1` for all prayers (matching what Abu Dawud 1523 actually establishes for the post-prayer context), OR locate and cite a distinct source that specifically ties a 3x count to post-Fajr/post-Maghrib recitation (not the separate morning/evening dhikr hadith) before keeping the differentiated count","islamqa.info/ar/answers/115073 (""استحباب قراءة المعوذات بعد كل صلاة **مرة**، وفي الصباح والمساء **ثلاث مرات**"" — explicitly distinguishes ""once after each prayer"" from ""three times in morning/evening""); dorar.net/hadith/sharh/83302"
